#### EXPORT DONNEES METEO POUR "PAU (BéARN)" (LAT/LON: 43.295105/-0.370659)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2021-01-01,6,3,10,3,6,4,7.3,97,8.375,1010,79.75,6,4,1,143,293,353,0,1,3.4,météo très défavorable
2021-01-02,2,1,11,2,1,1,0.6,93,9.5,1016,88,2,1,-2,122,326,368,0,1,3.4,météo très défavorable
2021-01-03,5,-1,7,-1,5,3,1.9,76,7.75,1017,50,5,2,-3,116,119,266,0,2,6.9,météo très défavorable
2021-01-04,3,2,14,2,3,2,4.1,96,6,1014,82.75,3,2,-2,263,317,338,1.3,1,3.4,météo très défavorable
2021-01-05,4,0,9,0,3,2,5,95,7.375,1017,71,4,1,-2,338,119,119,4.3,1,3.4,météo très défavorable
2021-01-06,4,0,5,0,3,2,0,85,10,1019,40.375,4,0,-0,119,116,116,0,1,8.7,météo très défavorable
2021-01-07,3,-1,6,-1,3,1,0,84,10,1018,28.375,3,0,-2,116,116,116,0,2,8.7,météo très défavorable
2021-01-08,3,-2,8,-2,2,1,0,90,10,1019,31.625,3,0,-2,116,116,116,0,1,8.7,météo très défavorable
2021-01-09,3,-1,12,-1,2,1,0,81,10,1014,90.25,3,0,-2,122,122,119,0,1,3.4,météo très défavorable
2021-01-10,2,-2,10,-2,1,-0,0,86,10,1020,57.5,2,0,-4,122,122,116,0,2,5.2,météo très défavorable
2021-01-11,2,-4,10,-4,1,-0,0,92,10,1027,4.25,2,0,-7,116,116,113,0,1,8.7,météo très défavorable
2021-01-12,6,0,12,-0,5,5,0.2,82,9.375,1030,66.5,6,3,-3,116,119,176,0,2,3.4,météo très défavorable
