date,main.humidity,main.temp,rain.1h,weather.main,wind.speed
2020-01-01T08:33:00.000Z,81,8.61,0,Clouds,3.1
2020-01-01T09:32:42.000Z,70,9.09,0,Clouds,4.1
2020-01-01T10:32:44.000Z,71,10.73,0,Clouds,3.1
2020-01-01T11:33:48.000Z,62,12.08,0,Clouds,3.1
2020-01-01T12:34:23.000Z,62,11.7,0,Clouds,2.1
2020-01-01T13:30:14.000Z,62,12.03,0,Clouds,2.6
2020-01-01T14:33:22.000Z,62,12.43,0,Clouds,1.5
2020-01-01T15:32:42.000Z,66,11.4,0,Clouds,2.1
2020-01-01T16:33:07.000Z,81,9.76,0,Clouds,1.5
2020-01-01T17:33:28.000Z,81,8.58,0,Clouds,1.5
2020-01-01T18:31:35.000Z,86,7.39,0,Clear,1
2020-01-01T19:32:48.000Z,93,6.25,0,Clear,1
2020-01-01T20:32:52.000Z,93,5.61,0,Clear,1.5
2020-01-01T21:32:44.000Z,93,4.83,0,Clear,2.1
2020-01-01T22:32:44.000Z,93,4.67,0,Clear,1.5
2020-01-01T23:32:38.000Z,93,4.25,0,Clear,2.1
2020-01-02T00:33:12.000Z,93,3.63,0,Clear,1.5
2020-01-02T01:32:44.000Z,89,3.25,0,Clear,1.5
2020-01-02T02:33:18.000Z,89,2.85,0,Clear,1.5
2020-01-02T03:33:01.000Z,100,2.59,0,Clear,2.1
2020-01-02T04:30:15.000Z,88,2.68,0,Clear,1.5
2020-01-02T05:37:23.000Z,88,2.04,0,Clear,3.1
2020-01-02T06:32:50.000Z,76,2.29,0,Clear,2.1
2020-01-02T07:30:14.000Z,86,3.09,0,Clear,1
2020-01-02T08:33:07.000Z,80,3.26,0,Clear,1.5
2020-01-02T09:32:48.000Z,65,7.6,0,Clouds,1
2020-01-02T10:32:56.000Z,58,10.42,0,Clouds,1
2020-01-02T11:34:27.000Z,54,12.12,0,Clouds,1.77
2020-01-02T12:34:14.000Z,62,13.15,0,Clouds,1.5
2020-01-02T13:30:14.000Z,67,13.67,0,Clouds,2.1
2020-01-02T14:32:59.000Z,71,13.6,0,Clouds,2.1
2020-01-02T15:32:51.000Z,71,12.48,0,Clouds,1.5
2020-01-02T16:32:49.000Z,81,10.21,0,Clouds,1.5
2020-01-02T17:32:46.000Z,87,9.11,0,Clouds,1.5
2020-01-02T18:32:53.000Z,93,7.97,0,Clouds,0.5
2020-01-02T19:32:50.000Z,93,7.33,0,Clouds,1
2020-01-02T20:32:53.000Z,93,7.32,0,Clouds,1
2020-01-02T21:32:53.000Z,93,7.2,0,Clouds,1.5
2020-01-02T22:33:06.000Z,93,6.8,0,Clouds,1.5
2020-01-02T23:32:59.000Z,100,5.67,0,Clouds,1.5
2020-01-03T00:30:15.000Z,93,6.4,0,Clouds,1.5
2020-01-03T01:30:15.000Z,100,5.52,0,Clouds,2.1
2020-01-03T02:32:49.000Z,100,6.23,0,Clouds,1.5
2020-01-03T03:32:55.000Z,93,6.2,0,Clouds,2.1
2020-01-03T04:35:03.000Z,93,5.69,0,Clouds,3.1
2020-01-03T05:40:22.000Z,100,5.45,0,Clouds,3.1
2020-01-03T06:32:53.000Z,100,4.97,0,Clouds,2.1
2020-01-03T07:33:23.000Z,93,5.15,0,Mist,2.1
2020-01-03T08:32:59.000Z,93,6.88,0,Clouds,1.5
2020-01-03T09:33:03.000Z,100,8.61,0,Clouds,1
2020-01-03T10:33:01.000Z,81,9.67,0,Clouds,1
2020-01-03T11:34:41.000Z,76,10.76,0,Clouds,1
2020-01-03T12:34:20.000Z,71,11.38,0,Clouds,2.1
2020-01-03T13:32:51.000Z,66,11.38,0,Clouds,3.1
2020-01-03T14:32:57.000Z,71,11.62,0,Clouds,2.6
2020-01-03T15:26:55.000Z,76,11.43,0,Clouds,4.1
2020-01-03T16:33:06.000Z,93,10.24,0,Rain,1.5
2020-01-03T17:33:04.000Z,93,10.13,0,Clouds,2.6
2020-01-03T18:33:08.000Z,93,10.13,0,Clouds,1.5
2020-01-03T19:33:13.000Z,93,9.48,0,Clouds,1
2020-01-03T20:33:09.000Z,93,9.25,0,Clouds,2.1
2020-01-03T21:32:41.000Z,100,8.99,0,Clouds,1
2020-01-03T22:32:45.000Z,93,8.99,0,Clouds,2.92
2020-01-03T23:32:43.000Z,100,8.34,0,Clouds,2.6
2020-01-04T00:32:15.000Z,93,8.08,0,Drizzle,1.5
2020-01-04T01:33:20.000Z,93,7.6,0,Clouds,2.6
2020-01-04T02:32:58.000Z,100,7.86,0,Clouds,1.5
2020-01-04T03:33:25.000Z,100,7.63,0,Fog,1.5
2020-01-04T04:35:22.000Z,93,7.17,0,Fog,1.5
2020-01-04T05:40:18.000Z,100,7.39,0,Drizzle,1.5
2020-01-04T06:33:22.000Z,100,7.15,0,Rain,1
2020-01-04T07:33:25.000Z,100,7.38,0,Drizzle,1
2020-01-04T08:33:05.000Z,100,9.05,0,Mist,1.5
2020-01-04T09:32:46.000Z,100,10.35,0,Drizzle,1.5
2020-01-04T10:33:08.000Z,100,11.2,0,Mist,1.63
2020-01-04T11:34:32.000Z,87,11.5,0,Clouds,1
2020-01-04T12:34:10.000Z,81,11.7,0,Clouds,2.1
2020-01-04T13:30:15.000Z,87,11.68,0,Clouds,1.5
2020-01-04T14:33:01.000Z,76,11.03,0,Clouds,2.6
2020-01-04T15:32:59.000Z,87,10.91,0,Clouds,1.5
2020-01-04T16:33:32.000Z,81,9.96,0,Clouds,1.5
2020-01-04T17:32:55.000Z,93,9.07,0,Clouds,1.5
2020-01-04T18:33:09.000Z,87,8.81,0,Clouds,3.1
2020-01-04T19:24:34.000Z,87,7.94,0,Clouds,1.5
2020-01-04T20:32:56.000Z,93,8.09,0,Clouds,0.5
2020-01-04T21:32:49.000Z,93,7.68,0,Clouds,0.5
2020-01-04T22:30:15.000Z,93,6.81,0,Clouds,1.5
